galaxy_id,J0378,error_J0378,J0395,error_J0395,J0410,error_J0410,J0430,error_J0430,J0515,error_J0515,J0660,error_J0660,J0861,error_J0861,redshift
60,8.80642738E-16,8.92212063E-18,8.78212654E-16,1.05152275E-17,9.71851616E-16,7.16086699E-18,9.07820902E-16,7.52520449E-18,7.56484649E-16,6.96748044E-18,9.01155282E-16,9.12994149E-18,4.54150585E-16,3.76459285E-18,2.51678000000000E-02
61,4.02160973E-16,5.92646288E-18,3.87971715E-16,7.14670318E-18,4.20726453E-16,5.81255019E-18,3.79489739E-16,5.24284402E-18,2.84708102E-16,4.19561351E-18,2.78997406E-16,5.13932154E-18,1.22123596E-16,2.02463973E-18,4.10615000000000E-02
62,2.31419354E-16,4.47604676E-18,2.22023866E-16,5.31677949E-18,2.80543083E-16,4.65101490E-18,2.69153216E-16,4.46218652E-18,2.70395787E-16,4.23374323E-18,2.82097838E-16,5.19643339E-18,1.81300904E-16,2.50476411E-18,4.09113000000000E-02
63,3.37909395E-16,5.60206829E-18,3.35737788E-16,6.80296993E-18,3.80189018E-16,5.25250466E-18,3.44191123E-16,4.75517555E-18,2.63026626E-16,4.11836022E-18,2.27614482E-16,4.82173547E-18,9.41889189E-17,1.90852632E-18,4.09113000000000E-02
64,6.14893615E-16,7.36239383E-18,5.80229904E-16,8.55058336E-18,6.95664136E-16,7.04803377E-18,6.48036850E-16,6.56550333E-18,5.93745056E-16,6.56231207E-18,5.67544685E-16,7.84091947E-18,2.82097838E-16,2.85803847E-18,4.69801000000000E-02
65,5.17130502E-16,6.66812708E-18,5.39510595E-16,7.95052173E-18,6.55842947E-16,6.64459049E-18,6.29795731E-16,6.38069547E-18,5.68590506E-16,5.76060283E-18,6.16026893E-16,7.94334428E-18,2.43444442E-16,3.13908839E-18,4.78402000000000E-02
66,3.41035423E-16,5.33978876E-18,3.24488978E-16,5.97730761E-18,3.84768660E-16,5.31577529E-18,3.60744582E-16,4.98387031E-18,3.28700188E-16,4.54115994E-18,3.55467250E-16,6.22055123E-18,1.98975623E-16,2.56568637E-18,3.39886000000000E-02
67,2.83138974E-16,5.47639309E-18,3.05914102E-16,6.19866073E-18,4.06630078E-16,5.24328242E-18,4.03273816E-16,5.57143324E-18,4.13809000E-16,5.33585055E-18,3.91922304E-16,6.13655394E-18,2.46603849E-16,2.72556632E-18,3.19587000000000E-02
68,3.64417900E-16,5.37026044E-18,3.95184122E-16,7.64353763E-18,4.86182830E-16,5.82128232E-18,4.77309630E-16,5.71503924E-18,4.64301269E-16,5.13164737E-18,4.80839270E-16,7.08590954E-18,2.04927247E-16,2.83117433E-18,5.12147000000000E-02
69,3.86901119E-16,5.70158598E-18,3.98107179E-16,7.33340446E-18,5.11917014E-16,6.12940834E-18,5.03964804E-16,5.57002455E-18,4.59197472E-16,5.07523779E-18,4.26579054E-16,6.67919517E-18,2.40104353E-16,2.87487594E-18,3.06263000000000E-02
70,5.39014181E-16,6.95030486E-18,5.30640148E-16,8.79727675E-18,6.57657927E-16,6.66297830E-18,6.28057831E-16,6.36308852E-18,5.86678048E-16,5.94385436E-18,5.37031223E-16,6.92473588E-18,3.27793121E-16,3.32099471E-18,3.08979000000000E-02
71,4.67304424E-16,6.45604914E-18,4.74242259E-16,8.29907083E-18,5.55648108E-16,5.62947857E-18,5.16653781E-16,5.71026848E-18,4.31717632E-16,5.16914595E-18,4.15336253E-16,6.12062161E-18,2.21207445E-16,3.05609343E-18,3.58944000000000E-02
72,2.40768745E-16,4.43512366E-18,2.41657362E-16,5.78694109E-18,3.36976838E-16,4.65550690E-18,3.32966005E-16,4.60009490E-18,3.51236902E-16,4.52901610E-18,3.25086904E-16,5.38948866E-18,2.06633185E-16,3.04505904E-18,4.17500000000000E-02
73,4.18407594E-16,5.78051431E-18,4.26186586E-16,7.45811352E-18,5.25290447E-16,5.32191338E-18,4.98883983E-16,5.97335865E-18,4.46272649E-16,5.75445150E-18,3.99576490E-16,6.25640042E-18,2.33775799E-16,2.79910123E-18,3.25962000000000E-02
74,1.01484479E-15,9.34706482E-18,9.35835987E-16,1.12051780E-17,9.50604642E-16,7.87985156E-18,8.55854107E-16,7.88270698E-18,6.10942048E-16,6.75238081E-18,6.93106044E-16,8.93723984E-18,2.53512885E-16,2.80192791E-18,2.96712000000000E-02
75,4.42995929E-16,6.52822975E-18,4.40554303E-16,7.70954417E-18,4.71194529E-16,5.20783401E-18,4.36515915E-16,5.22659819E-18,3.36666189E-16,4.96129614E-18,3.48337164E-16,6.09577724E-18,1.45210974E-16,2.13990797E-18,2.87684000000000E-02
76,5.05824783E-16,6.98822696E-18,5.04428978E-16,7.43354047E-18,6.32703330E-16,6.41015385E-18,6.02558910E-16,6.65972624E-18,5.80229904E-16,5.87852570E-18,5.85059103E-16,7.54403112E-18,3.48979718E-16,-999.000000,3.69918000000000E-02
77,1.11892237E-15,9.27508935E-18,1.03944125E-15,1.14883277E-17,1.02991107E-15,8.53724756E-18,9.24697292E-16,7.66509892E-18,6.91831206E-16,7.00920012E-18,9.60284005E-16,8.84454185E-18,3.17394866E-16,2.92331460E-18,3.20785000000000E-02
78,1.38931308E-15,1.15164394E-17,1.50522064E-15,1.38635934E-17,1.83146967E-15,1.18079205E-17,1.80301699E-15,1.16244792E-17,1.75711363E-15,1.13285305E-17,1.97696960E-15,1.27459930E-17,1.13867444E-15,5.24378948E-18,2.60010000000000E-02
79,2.97851460E-16,5.21229500E-18,3.37287223E-16,6.83436557E-18,4.27365894E-16,5.11704143E-18,4.05882174E-16,5.23363832E-18,3.46737013E-16,4.79034851E-18,2.68163511E-16,5.18674173E-18,1.56458817E-16,2.30566235E-18,2.19920000000000E-02
80,2.26568820E-16,4.38222918E-18,2.31632488E-16,5.33353486E-18,3.12751616E-16,4.60887832E-18,3.12176349E-16,4.60040096E-18,3.27793121E-16,4.83053749E-18,3.33887365E-16,5.22786708E-18,6.14326858E-17,1.30137668E-18,7.76302000000000E-02
81,6.42095549E-16,7.68809372E-18,6.63743276E-16,8.55862190E-18,7.20442973E-16,6.63552459E-18,6.84226227E-16,6.30195615E-18,5.65457755E-16,6.24966965E-18,6.91831206E-16,7.64640051E-18,2.53046196E-16,2.79676941E-18,4.47046000000000E-02
82,2.12226553E-16,4.30029322E-18,2.09507591E-16,5.78890771E-18,2.84446184E-16,4.45373811E-18,2.70894133E-16,4.24154561E-18,2.64484291E-16,4.38478227E-18,2.36591866E-16,5.01191091E-18,1.36898868E-16,2.14350476E-18,4.29993000000000E-02
83,2.39662334E-16,4.63548003E-18,2.38781076E-16,5.93798799E-18,3.19153835E-16,4.40927302E-18,3.14195543E-16,4.63015671E-18,3.23891529E-16,4.47472617E-18,3.56122853E-16,5.57602161E-18,2.25320134E-16,-999.000000,2.88292000000000E-02
84,2.97303615E-16,5.20270756E-18,3.06478411E-16,6.77464892E-18,3.80890229E-16,4.91137992E-18,3.65426292E-16,5.04855046E-18,3.54486968E-16,4.89741753E-18,3.48657978E-16,5.78026450E-18,4.07755275E-17,-999.000000,8.30926000000000E-02
85,5.44000769E-16,7.01460492E-18,5.40007380E-16,8.45520778E-18,5.73323779E-16,5.80855780E-18,5.21914650E-16,5.76841348E-18,3.99576490E-16,5.15232978E-18,4.71194529E-16,6.50979231E-18,1.84331628E-16,2.54663516E-18,3.67484000000000E-02
