ID,J0378,error_J0378,J0395,error_J0395,J0410,error_J0410,J0430,error_J0430,J0515,error_J0515,J0660,error_J0660,J0861,error_J0861,redshift
82,1.01297791E-27,1.86597409E-29,1.08442654E-27,2.69674308E-29,1.60103221E-27,2.50682863E-29,1.6734024E-27,2.62014313E-29,2.331307E-27,4.07970432E-29,3.43874406E-27,7.28455978E-29,3.37908453E-27,5.29082808E-29,4.29993000000000E-02
83,1.1439318E-27,2.00184002E-29,1.23481085E-27,2.61579624E-29,1.79638843E-27,2.15089526E-29,1.94267725E-27,2.68390766E-29,2.85495849E-27,3.94427052E-29,5.17130486E-27,9.04959934E-29,5.57699007E-27,6.67757708E-29,2.88292000000000E-02
84,1.4177508E-27,2.48101335E-29,1.58635142E-27,3.214384E-29,2.14387588E-27,2.76441574E-29,2.25735321E-27,3.11864843E-29,3.12463722E-27,4.89242539E-29,5.06290852E-27,8.85991029E-29,9.69169356E-28,2.85644149E-29,8.30926000000000E-02
85,2.59896042E-27,3.35122343E-29,2.79511484E-27,4.37647297E-29,3.22700444E-27,3.26939879E-29,3.22107142E-27,3.56005923E-29,3.52209099E-27,4.54155225E-29,6.82338105E-27,9.4268481E-29,4.56246679E-27,5.88306177E-29,3.67484000000000E-02
86,1.86379906E-27,2.74659578E-29,2.11446289E-27,3.70023504E-29,2.79511484E-27,3.08927499E-29,2.98950492E-27,3.57946629E-29,3.57766216E-27,4.94272226E-29,5.69115457E-27,8.91097091E-29,4.98424507E-27,5.96785685E-29,1.91741000000000E-02
87,9.66495683E-28,2.04740346E-29,1.00000003E-27,2.57889513E-29,1.27879245E-27,2.35562267E-29,1.29897186E-27,2.39279447E-29,1.56747269E-27,2.88739089E-29,2.1498064E-27,5.34612092E-29,1.96970055E-27,3.8097386E-29,3.34224000000000E-02
88,4.0513454E-27,3.73142667E-29,4.28153409E-27,5.12647042E-29,5.59241754E-27,5.15080635E-29,5.62341345E-27,5.17935465E-29,6.51628536E-27,6.00172072E-29,8.62182753E-27,1.11173945E-28,7.9946523E-27,7.36334657E-29,3.98087000000000E-02
89,1.29181501E-27,2.37961103E-29,1.43350664E-27,3.30077098E-29,1.91248946E-27,2.8183487E-29,1.98975449E-27,2.93221059E-29,2.61336502E-27,3.85119695E-29,4.11907304E-27,7.58761268E-29,3.50590201E-27,5.16648823E-29,4.58598000000000E-02
90,5.65458078E-27,5.20806064E-29,6.25748814E-27,6.91603128E-29,7.48168779E-27,5.51271146E-29,7.55092651E-27,4.86826189E-29,8.53493111E-27,7.07486513E-29,1.54311855E-26,1.42126468E-28,5.6963931E-27,6.82054368E-29,6.46371000000000E-02
91,7.86321759E-28,1.81057276E-29,8.42558432E-28,2.6384852E-29,1.04135571E-27,2.01416056E-29,1.05779073E-27,2.04594848E-29,1.28706374E-27,2.60794477E-29,1.98609214E-27,5.6707003E-29,1.78648684E-27,3.78445475E-29,3.38468000000000E-02
92,1.6672477E-27,2.91762407E-29,1.85524042E-27,3.41747873E-29,2.38781263E-27,3.07895923E-29,2.45697046E-27,3.1681346E-29,3.12176354E-27,4.60040115E-29,4.60892831E-27,8.48995841E-29,1.85182151E-27,3.92285809E-29,7.01115000000000E-02
93,2.21411185E-27,2.8549811E-29,2.52115689E-27,4.1797278E-29,3.39468803E-27,3.75194806E-29,3.58425963E-27,3.63134723E-29,4.49158911E-27,4.96428726E-29,7.28450492E-27,1.0063915E-28,6.39146122E-27,7.0641034E-29,3.33006000000000E-02
94,1.11789217E-27,2.05923319E-29,1.1967407E-27,2.97604505E-29,1.51355897E-27,2.36986688E-29,1.55883633E-27,2.72790824E-29,1.94446548E-27,3.40274566E-29,3.25686848E-27,6.5993097E-29,2.85495849E-27,4.73312451E-29,2.64604000000000E-02
95,1.41644684E-27,2.47873157E-29,1.47774515E-27,3.13042308E-29,1.81134154E-27,2.50246068E-29,1.82137699E-27,2.85183491E-29,2.06823286E-27,3.61933424E-29,3.14484773E-27,6.95162728E-29,2.29086574E-27,4.21993038E-29,4.77888000000000E-02
96,2.32059652E-27,3.20602215E-29,2.47058794E-27,4.09589146E-29,3.04228618E-27,3.08225347E-29,3.14195518E-27,3.76200202E-29,3.58756722E-27,4.62598021E-29,6.26902792E-27,9.81578002E-29,4.32912574E-27,5.58218095E-29,2.94455000000000E-02
